T5120B01_1    , 2342597.577000, 12995260.419000
103332079     , 2341029.283073, 12997238.564693
103332076     , 2341016.855000, 12997231.553000
103332075     , 2341029.007000, 12997241.606000
1823816       , 2342217.409376, 12996157.473267
1823817       , 2342215.099603, 12996094.396967
1823814       , 2342476.887435, 12995642.890155
1823815       , 2342473.266454, 12995575.384739
1823812       , 2342481.958891, 12995688.416733
1823813       , 2342456.969000, 12995746.166000
1823811       , 2342483.656640, 12995752.081371
103060134     , 2340751.160500, 12997853.447684
1823850       , 2342211.309038, 12995849.402888
1823818       , 2342214.182516, 12995992.529188
1823819       , 2342109.998000, 12996167.269000
26512068      , 2340752.537055, 12997734.714229
1765896       , 2341111.136812, 12996181.008610
1765894       , 2341486.213591, 12996175.340326
1765895       , 2341860.490379, 12996182.543759
1765893       , 2341365.206654, 12996180.663921
1765890       , 2342003.519141, 12996161.182324
27145134      , 2341025.567916, 12997249.351376
26512066      , 2340752.395662, 12997729.749447
26449578      , 2341027.819000, 12997222.365000
103013278     , 2340754.412167, 12997843.971146
26424757      , 2340761.419000, 12997725.017000
103013370     , 2340739.298197, 12997826.180162
103013371     , 2340751.072658, 12997826.345999
26449576      , 2341018.581000, 12997224.303000
26512070      , 2340746.929000, 12997730.349000
27043849      , 2341199.140000, 12996338.447000
27043772      , 2341124.948000, 12996006.995000
103013238     , 2340755.448399, 12997841.928413
103013239     , 2340757.878549, 12997838.999026
1992593       , 2341325.590000, 12996179.631000
1992590       , 2341243.190713, 12996173.063894
1992591       , 2341250.928000, 12996181.104000
1992554       , 2341257.654720, 12996469.502664
1992510       , 2341794.219000, 12996178.816000
1992511       , 2341865.447299, 12996181.888820
1992553       , 2341257.467412, 12996464.506174
1992550       , 2341255.656000, 12996556.178000
1992558       , 2341251.426796, 12996303.371095
103013299     , 2340733.355434, 12997833.646166
103013317     , 2340756.422622, 12997833.573435
26259145      , 2340587.489188, 12997517.953930
103013319     , 2340742.685595, 12997831.536571
25028592      , 2341106.685440, 12996169.299864
27043862      , 2341109.543000, 12997539.710000
27145135      , 2341020.510000, 12997251.172000
103603012     , 2340947.472713, 12997807.136861
26621405      , 2341261.165000, 12996863.836000
103004796     , 2341242.452604, 12997135.467547
25680881      , 2341393.545000, 12997297.948000
26449577      , 2341256.748502, 12996813.859459
103004792     , 2341286.190000, 12997307.379000
26512071      , 2340744.140000, 12997736.827000
103004798     , 2341032.073359, 12997246.677901
103602979     , 2340955.782373, 12997809.267543
T5120B01_10000009           , 2340752.917187, 12997821.698665
T5120B01_10000008           , 2341234.170777, 12997117.871851
T5120B01_10000005           , 2341032.327485, 12997237.867768
T5120B01_10000004           , 2341014.834414, 12997246.010766
T5120B01_10000007           , 2340739.291142, 12997738.047072
T5120B01_10000006           , 2341015.082685, 12997236.228350
T5120B01_10000000           , 2341252.504528, 12996652.132408
T5120B01_10000003           , 2340576.198806, 12997529.985858
1823824       , 2341998.943552, 12995961.156818
T5120B01_10000002           , 2341603.297756, 12996170.712439
1823825       , 2342001.048018, 12995956.621267
1823866       , 2342262.315672, 12995747.378607
1823867       , 2342265.410492, 12995743.451510
1823860       , 2342372.516828, 12995745.170911
1823861       , 2342367.517175, 12995745.112001
1823868       , 2342209.597412, 12995814.274174
1823869       , 2342465.752589, 12995482.987216
1992493       , 2341598.301657, 12996170.909916
26424523      , 2341016.655000, 12997241.354000
27145132      , 2341020.319000, 12997222.415000
26424532      , 2341020.791973, 12997230.772289
27145218      , 2340761.265000, 12997732.518000
26451272      , 2341032.743254, 12997242.174007
26489505      , 2340585.716519, 12997523.665806
26172320      , 2341190.416000, 12996336.996000
26595446      , 2342458.155927, 12995386.304007
26259143      , 2340588.438707, 12997522.729699
GT28BK_103013451            , 2341252.668657, 12996647.135103
27145133      , 2341016.568000, 12997222.440000
26512065      , 2340759.508000, 12997726.730000
26424752      , 2340761.417742, 12997745.265193
27145219      , 2340761.342000, 12997728.768000
26449575      , 2341025.999000, 12997249.261000
1823870       , 2342590.666426, 12995266.184858
27145217      , 2340761.189000, 12997736.268000
103013265     , 2340763.624718, 12997832.072055
26259236      , 2341220.051551, 12997482.575070
103013366     , 2340738.966522, 12997848.734059
26172321      , 2341185.483756, 12996336.175655
103013365     , 2340739.782108, 12997844.143581
103013242     , 2340763.411621, 12997844.070162
103013368     , 2340745.094587, 12997840.171500
103013240     , 2340747.566956, 12997835.178695
103013369     , 2340749.082608, 12997848.899897
103013241     , 2340747.496064, 12997839.143007
25113875      , 2341997.693475, 12996154.322278
25431432      , 2342206.502592, 12995818.201271
26424528      , 2341026.486873, 12997244.443282
27145130      , 2341019.010739, 12997224.212947
103013321     , 2340725.361597, 12997843.651093
26259153      , 2340590.576706, 12997527.031013
1992535       , 2341261.148365, 12996806.008169
1992539       , 2341263.226814, 12996756.990615
103013302     , 2340741.356440, 12997835.282246
103013303     , 2340741.354415, 12997831.985368
25945740      , 2342210.453531, 12995779.224844
103013300     , 2340730.979521, 12997836.619911
103013301     , 2340730.358203, 12997839.554700
26424530      , 2341016.627778, 12997231.439901
26824809      , 2341236.038889, 12997122.509755
27145220      , 2340754.717334, 12997731.024402
103314247     , 2340576.315694, 12997537.219136
26259148      , 2340578.188342, 12997548.025258
26424675      , 2340578.939263, 12997545.888049
26424529      , 2341016.759000, 12997251.196000
26424527      , 2341036.806670, 12997253.040181
27145131      , 2341024.069000, 12997222.390000
26259150      , 2340588.450237, 12997538.784445
27145136      , 2341024.262000, 12997251.148000
1823846       , 2341137.405043, 12995994.946960
1823847       , 2341940.542557, 12996087.022819
1823845       , 2341133.811000, 12995998.423000
T5120B01_10000011           , 2340960.625692, 12997810.509420
T5120B01_10000010           , 2340738.091893, 12997853.656967
26621406      , 2341266.807187, 12996936.767054
T5120B01_10000013           , 2342209.478652, 12995733.510680
T5120B01_10000012           , 2341250.034000, 12996166.079000
1823848       , 2341937.306078, 12996083.211624
1823849       , 2342169.665000, 12996165.289000
26424531      , 2341022.231779, 12997231.209489
103093268     , 2340735.248486, 12997823.247613
1992432       , 2341110.404814, 12997553.458205
1992431       , 2341110.092000, 12997548.468000
1992472       , 2340741.958812, 12997730.894193
26259149      , 2340589.210761, 12997544.521038
26595445      , 2342457.450946, 12995377.331560
1992587       , 2341115.596975, 12996183.268465
26259147      , 2340588.224659, 12997529.226273
1992507       , 2341370.201861, 12996180.445046
1992588       , 2341239.399552, 12996176.323818
1992589       , 2341223.818751, 12996181.721115
1992541       , 2341263.705157, 12996761.967681
1992508       , 2341491.209690, 12996175.142849
1992509       , 2341726.425000, 12996177.028000
26259151      , 2340586.606181, 12997528.586020
103317988     , 2340576.279595, 12997534.985205
27145137      , 2341028.013000, 12997251.124000
103004824     , 2341243.952760, 12996308.385053
26621407      , 2341267.192851, 12996941.752158
103004805     , 2341384.749000, 12997299.027000
103004800     , 2341240.452604, 12997133.467547
